Feedback_ID,Product_ID,Rating,Review
F129,P005,3,"Not bad, not great."
F130,P010,4,Good quality for the price.
F131,P001,2,Not durable.
F132,P002,5,Fantastic material!
F133,P007,1,"Poor fit, disappointed."
F134,P001,4,Stylish and comfy!
F135,P006,5,Excellent purchase!
F136,P004,2,Expected better.
F137,P004,4,Great design!
F138,P004,3,"Okay, could be improved."
F139,P006,1,Very poor quality.
F140,P006,5,"Love it, perfect!"
F141,P003,4,Good for daily wear.
F142,P005,2,Not worth the price.
F143,P005,5,Superb quality!
F144,P006,3,"It's fine, not great."
F145,P001,4,Nice color and fit!
F146,P009,1,"Poorly made, disappointed."
F147,P002,5,Very satisfied!
F148,P009,4,Good value for money.
F149,P007,2,Not as described.
F150,P002,5,"Highly recommend, great quality!"
F151,P001,3,Decent for the price.
F152,P005,4,Love the material!
F153,P002,1,Not durable.
F154,P002,5,Amazing fit and comfort!
F155,P006,2,Too tight.
F156,P009,4,Great value for the price.
F157,P005,5,Fantastic product!
F158,P009,3,Just average.
F159,P007,4,Very stylish!
F160,P002,1,Very uncomfortable.
F161,P008,5,"Love this, exceeded expectations!"
F162,P009,4,Comfortable for workouts.
F163,P005,2,"Poor fit, disappointed."
F164,P005,5,Excellent purchase!
F165,P001,3,"Not bad, not great."
F166,P002,4,Stylish and comfy!
F167,P001,1,Not worth the price.
F168,P007,5,"Love it, perfect!"
F169,P005,4,Good for daily wear.
F170,P002,2,Not worth the money.
F171,P009,5,Superb quality!
F172,P003,3,"It's fine, not great."
F173,P008,4,Nice color and fit!
F174,P004,1,"Poorly made, disappointed."
F175,P009,5,Very satisfied!
F176,P003,4,Good value for money.
F177,P005,2,Not as described.
F178,P007,5,"Highly recommend, great quality!"
F179,P003,3,Decent for the price.
F180,P002,4,Love the material!
F181,P006,1,Not durable.
F182,P006,5,Amazing fit and comfort!
F183,P004,2,Too tight.
F184,P006,4,Great value for the price.
F185,P008,5,Fantastic product!
F186,P003,3,Just average.
F187,P010,4,Very stylish!
F188,P003,1,Very uncomfortable.
F189,P002,5,"Love this, exceeded expectations!"
F190,P004,4,Comfortable for workouts.
F191,P004,2,"Poor fit, disappointed."
F192,P010,5,Excellent purchase!
F193,P003,3,"Not bad, not great."
F194,P008,4,Stylish and comfy!
F195,P002,1,Not worth the price.
F196,P001,5,"Love it, perfect!"
F197,P009,4,Good for daily wear.
F198,P002,2,Not worth the money.
F199,P005,5,Superb quality!
F200,P001,3,"It's fine, not great."
